video_id,title,published_at,duration_seconds,view_count,like_count,comment_count
-Nj53WEw2kI,GRAMMYS OUTFIT🏆 which one do you like the best?,2025-02-04T19:00:00Z,22.0,40632,2317,14
l4wiecvjyDg,MY WORKOUT SECRET👀,2025-02-03T19:00:27Z,51.0,7530,757,7
VHs7UVKOZMM,flashback to THE GRAMMYS🥹,2025-02-02T19:00:26Z,9.0,8213,1041,14
1JZP8dWc7to,the ICONIC bob,2025-02-01T19:00:01Z,19.0,7881,797,12
LImSEgW8fqY,IT DOESNT WORK THAT WAY😭🩰,2025-01-31T19:00:15Z,28.0,893518,69904,112
VKD2A6_rScE,this was cooking in my music…,2025-01-29T19:00:18Z,8.0,8722,703,8
fkChCRCq0Iw,THE FLOORWORK👀🤭,2025-01-28T19:00:34Z,18.0,7173,717,15
jhr2z90C_wQ,diva from day one💅,2025-01-27T19:00:36Z,22.0,9306,707,0
Ai0DOAR1TE8,mama connie is ICONIC,2025-01-26T19:00:09Z,28.0,12951,1871,16
e-zsUVbLJWA,ballerina’s inner thoughts…,2025-01-25T19:00:21Z,14.0,9259,701,6
jvz_MbEEp9Q,AM I IN PITCH PERFECT⁉️,2025-01-24T19:00:36Z,14.0,8329,626,7
6xdgqtUxcx0,short hair for life🤞,2025-01-23T19:00:04Z,16.0,6921,470,16
it4STWDJ2DE,still on youtube though!,2025-01-22T19:00:34Z,11.0,8364,684,16
96QCP6u7xxo,the tiktok ban💔,2025-01-21T19:00:09Z,11.0,8754,740,13
MbCmdPD0tEw,bye tiktok🥲,2025-01-20T19:00:14Z,31.0,8451,535,6
pU_O6peJ4q8,LIMITED VINYLS SOON EEEEE,2025-01-19T19:00:37Z,11.0,10017,798,17
95Ic6e-maJQ,GET UNREADY w/ ME🫧SWAN LAKE EDITION🦢🩰,2025-01-18T19:00:07Z,11.0,6146,735,11
0PIm_mULOUc,donate if you can🫶,2025-01-16T19:00:00Z,45.0,9996,1075,14
ea9rOP4aFPY,hot girl purchase…,2025-01-15T19:00:33Z,7.0,6682,578,4
HUYBCRef4ho,BEST LIP PRODUCT EVER💄,2025-01-14T19:00:17Z,57.0,433828,49654,272
