video_id,title,published_at,date,time,hour,duration_seconds,view_count,like_count,comment_count,engagement_rate,has_hashtags,hashtag_count,has_emojis,emoji_count,clean_title,num_words,sentiment_polarity,sentiment,day_of_week
jS_f1BHbS_w,Ballet x Ringtone 🩰 📞 #shorts #ballet #ballerina,2022-09-13 18:00:15+00:00,2022-09-13,18:00:15,18,12.0,2234,60,3,0.02820053715308863,True,3,True,2,Ballet x Ringtone 🩰 📞,8,0.0,neutral,Tuesday
mt5o0xypsD4,acting dreams coming true🥰 #shorts #acting #actor,2022-09-14 18:00:28+00:00,2022-09-14,18:00:28,18,8.0,2095,67,1,0.032458233890214794,True,3,True,1,acting dreams coming true🥰,7,0.0,neutral,Wednesday
P8F315-K5Zk,which version do YOU like? 🤔 can you guess my favorite🤭 #shorts #nicknames #trend,2022-09-15 18:00:19+00:00,2022-09-15,18:00:19,18,16.0,2375,72,10,0.03452631578947368,True,3,True,2,which version do YOU like? 🤔 can you guess my favorite🤭,14,0.0,neutral,Thursday
oKZV4jVCVIk,international super spy..SUPER SPYYY #shorts #fashion #ootd,2022-09-16 18:00:32+00:00,2022-09-16,18:00:32,18,7.0,2764,60,4,0.023154848046309694,True,3,False,0,international super spy..SUPER SPYYY,7,0.16666666666666666,positive,Friday
lreVj46Njl8,the key to my heart🔑 #shorts #netflix,2022-09-17 18:00:30+00:00,2022-09-17,18:00:30,18,6.0,9230,141,0,0.015276273022751896,True,2,True,1,the key to my heart🔑,7,0.0,neutral,Saturday
9i8_f_2BA9E,HOLD THE PHONE‼️ does male me look like my bf😲 #shorts #relationship #couple #couplegoals,2022-09-18 18:00:03+00:00,2022-09-18,18:00:03,18,8.0,1408,32,2,0.024147727272727272,True,4,True,2,HOLD THE PHONE‼️ does male me look like my bf😲,14,0.0,neutral,Sunday
ne6RJmRX-ik,why i quit ballet...#shorts #ballet #dancer,2022-09-19 18:00:15+00:00,2022-09-19,18:00:15,18,16.0,13461,645,12,0.04880766659237798,True,3,False,0,why i quit ballet...,6,0.0,neutral,Monday
Y5Dq9u5dVEU,Who wants to look simple when you can look...stunning?✨ #shorts #fashion #designer #ootd,2022-09-20 18:00:11+00:00,2022-09-20,18:00:11,18,6.0,8186,129,5,0.016369411189836307,True,4,True,1,Who wants to look simple when you can look...stunning?✨,13,0.1,positive,Tuesday
UpuThBs8rS4,we rlly said: copy and paste🤣 #shorts #mom #family,2022-09-21 18:00:18+00:00,2022-09-21,18:00:18,18,7.0,1560,52,1,0.03397435897435897,True,3,True,1,we rlly said: copy and paste🤣,9,0.0,neutral,Wednesday
kxWoUGjN_yE,why is this trend so HARD #shorts #dance #dancer,2022-09-22 18:00:17+00:00,2022-09-22,18:00:17,18,7.0,2040,41,1,0.020588235294117647,True,3,False,0,why is this trend so HARD,9,-0.2916666666666667,negative,Thursday
K34bhQoQYGc,perks of being a dancer🤭 #shorts #dance #dancer,2022-09-23 18:00:13+00:00,2022-09-23,18:00:13,18,7.0,1290,28,1,0.02248062015503876,True,3,True,1,perks of being a dancer🤭,8,0.0,neutral,Friday
